q_target,c_used,avg_latency_s,p90_s,p95_s,p99_s,slowest_s,fastest_s,total_secs,achieved_rps,http_200,http_502,http_504,http_5xx_other,err_timeout,err_too_many_open_files_tcp,err_too_many_open_files_dns,err_dns_no_host,c_est_avg,c_est_p95
100,50,0.3482,1.7838,1.8831,2.1212,3.1706,0.0142,600.4624,143.5261,86182,0,0,0,0,0,0,0,35,188
150,63,0.4478,2.3475,2.4652,2.9171,4.8293,0.0137,600.561,140.6268,84455,0,0,0,0,0,0,0,67,370
200,108,0.3752,0.4172,0.5661,5.6303,19.8854,0.0139,600.2931,286.61,171973,0,64,0,13,0,0,0,75,113
250,113,0.355,0.3596,0.4618,5.5047,19.4832,0.0143,600.2815,318.2623,191047,0,0,0,0,0,0,0,89,115
300,128,0.3393,0.3706,0.4383,5.9457,19.6878,0.0136,601.3008,371.6343,223241,0,168,0,55,0,0,0,102,131
350,143,0.3443,0.4184,0.4761,4.2176,19.9896,0.0123,600.3048,414.8842,248798,0,256,0,3,0,0,0,121,167
400,166,0.394,0.4886,0.5652,4.9989,19.984,0.0136,600.3617,418.1396,250509,0,489,0,37,0,0,0,158,226
450,213,0.4072,0.6338,0.7251,0.9704,19.9993,0.0148,600.3509,508.1711,304781,0,115,0,185,0,0,0,183,326
500,245,0.4451,0.6875,0.7943,1.055,19.9678,0.0158,600.4371,543.5623,326246,0,37,0,92,0,0,0,223,397
550,294,0.5146,0.7802,0.8955,1.2439,19.9709,0.0161,600.461,563.672,338300,0,45,0,118,0,0,0,283,493
600,371,0.6534,1.0493,1.212,1.618,19.9686,0.0165,600.6419,557.3604,334522,0,47,0,205,0,0,0,392,727
650,510,0.9067,1.487,1.7466,2.3802,19.8941,0.0149,600.9399,545.9181,327602,0,1,0,461,0,0,0,589,1135
700,762,1.3412,2.1467,2.4111,3.0595,19.2528,0.0191,601.2505,550.5975,330313,0,0,0,734,0,0,0,939,1688
750,1208,2.0743,3.294,3.7308,4.6587,15.9239,0.061,605.8872,139908.4135,286975,0,0,0,822,26074,84224374,230477,1556,2798
800,1992,1.7949,2.6516,2.9932,3.9021,19.3996,0.0205,601.5276,633487.7119,329928,0,3,0,1001,185933,379549813,993681,1436,2395
850,1831,1.7904,2.6624,2.9987,3.844,19.7489,0.0249,601.5443,583451.9603,330836,2,7,0,982,175680,349389433,1075266,1522,2549
900,1934,1.7908,2.7337,3.1058,3.9206,19.194,0.0235,601.4021,681514.4151,330549,0,6,0,993,209943,408164487,1158220,1612,2795
950,2042,1.8031,2.6714,3.0605,3.9733,19.6733,0.0212,601.5611,709692.9473,328427,0,12,0,1006,195130,425304790,1094275,1713,2907
1000,2164,1.8153,2.729,3.0941,4.021,19.916,0.018,601.661,476547.7462,327025,0,5,0,1007,190278,285180548,1021325,1815,3094
